영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Maroochydore Airport,마로카이도어 공항,MCY,YBSU
Marsa Alam Airport,마사 알람 공항,RMF,HEMA
Marudi Airport,마루디 공항,MUR,WBGM
Masbate Airport,마스바트 공항,MBT,RPVJ
Mashhad International Airport ,마슈하드 국제공항 ,MHD,OIMM
Matacan Airport,마타칸 공항,SLM,LESA
Mataiva Airport,마타이바 공항,MVT,NTGV
Mataveri International Airport,마타버리 국제공항,IPC,SCIP
Matecana Airport,마테카나 공항,PEI,SKPE
Mather Airport,마더 공항,MHR,KMHR
Mati Airport,마티 공항,DVO,RPMD
Matsapha International Airport,매츠파 국제공항,MTS,FDMS
Matsumoto Airport,마츠모토 공항,MMJ,RJAF
Matsuyama Airport,마츠야마 /마쯔야마 공항,MYJ,RJOM
Matundo Airport,마툰도 공항,TET,FQTT
Maubeuge Elesmes Airport,모뵈주 엘레스메 공항,XME,LFQJ
Maun Airport,마운 공항,MUB,FBMN
Maupertus Airport,모페르투스 공항,CER,LFRC
Maupiti Airport,모피티 공항,MAU,NTTP
Maurice Bishop International Airport ,모리스 비숍 국제공항 ,GND,TGPY
Maya Maya Airport,마야 마야 공항,BZV,FCBB
Mayor Pnp Nancy Flore Airport,낸시 플로어 공항,MZA,SPMF
Mazamet Airport,마자메 공항,DCM,LFCK
Mccarran International Airport,맥커란 국제공항,LAS,KLAS
McGhee Tyson Airport,맥기 타이슨 공항,TYS,KTYS
Meadows Field Airport,미도우즈 필드 공항,BFL,KBFL
Mecheria Airport,메케리아 공항,MZW,DAAY
Medicine Hat Airport,메디슨햇 공항,YXH,CYXH
Medis Airport,메디 공항,RYN,LFCY
Mediterranee Airport,메디테라니 공항,MPL,LFMT
Megeve Airport,메게베 공항,MVV,LFHM
Mehamn Airport,메함 공항,MEH,ENMH
Mehrabad International Airport,메드라밧 국제공항,THR,OIII
Meixian Airport,메이시안 공항,MXZ,ZGMX
Melbourne International Airport,멜버른 국제공항,MLB,KMLB
Melilla Airport,멜리야 공항,MLN,GEML
Melita Airport,멀리타 공항,DJE,DTTJ
Memanbetsu Airport,메만베쓰 /메만베쯔 공항,MMB,RJCM
Memmingen Airport,멤밍겐 공항,FMM,EDJA
Memphis International Airport,멤피스 국제공항,MEM,KMEM
Menara Airport,메나라 공항,RAK,GMMX
Menorca Airport,메노르카 공항,MAH,LEMH
Mercedita Airport,메르세디타 공항,PSE,TJPS
Merimbula Airport,메림불라 공항,MIM,YMER
Mersa Matruh Airport,메르사마트루 공항,MUH,HEMM
Merville Calonne Airport,메르빌 칼론 공항,HZB,LFQT
metropolitan area2,메트로폴리탄에어리어,RIO,
Metz Nancy Lorraine Airport,메스 낭시 로레인 공항,ETZ,LFJL
Meucon Airport,뫼숑 공항,VNE,LFRV
Mfuwe Airport,엠푸베 공항,MFU,FLMF
Miami International Airport,마이애미 국제공항,MIA,KMIA
Mianyang Nanjiao Airport,면양 남경 공항,MIG,ZUMY
Miguel Hidalgo Airport,미구엘 히달고 공항,GDL,MMGL
Miho Airport,미호 공항,YGJ,RJOH
Milas Airport,밀라스 공항,BJV,LTFE
Mildura Airport,밀두라 공항,MQL,YMIA
Milos Island National Airport,밀로스 아일랜드 내셔널 공항,MLO,LGML
Minangkabau International Airport,미낭카바우 국제공항,PDG,WIPT
Minatitlan / Coatzacoalcos National Airport,미나티틀란 코아차콜코스 내셔널 공항,MTT,MMMT
Mineralnye Vody Airport,미네랄예 보디 공항,MRV,URMM
Mingaladon Airport,밍갈라돈 공항,RGN,VYYY
Ministro Pistarini Airport ,미니스트로 피스타리니 공항 ,EZE,SAEZ
Ministro Victor Konder International Airport,미니스터 빅토 컨더 국제공항,NVT,SBNF
Minna Airport,민나 공항,MXJ,DNMN
Minneapolis St Paul International Airport,미니애폴리스 세인트폴 국제공항,MSP,KMSP
Minsk International 2 Airport,민스크 2 국제공항,MSQ,UMMS
Miquelon Airport,미끌롱 공항,MQC,LFVM
Miraflores Airport,미라플로레스 공항,MFS,SKMF
Miramare Airport,미라마레 공항,RMI,LIPR
Mirecourt Airport,미레쿠 공항,EPL,LFSG
Miri Airport,미리 공항,MYY,WBGR
Mirny Airport,미르느이 공항,MJZ,UERR
Misawa Air Base / Misawa Airport,미사와 공항,MSJ,RJSM
Miyakejima Airport,미아케지마 공항,MYE,RJTQ
Miyazaki Airport,미야자키 공항,KMI,RJFM
Mobile Regional Airport,모빌 지역공항,MOB,KMOB
Mocimboa da Praia Airport,모킴보아드프라이아 공항,MZB,FQMP
Moenjodaro Airport,모헨조다로 공항,MJD,OPMJ
Mogador Airport,모가도 공항 ,ESU,GMMI
Mohamed V Airport,모하메드 V 공항,CMN,GMMN
Mohe Gulian Airport,모헤 굴리안 공항,OHE,ZYMH
Moi International Airport ,모이 국제공항,MBA,HKMO
Moises Benzaquen Rengifo Airport,모세스 벤자켄 렝기포 공항,YMS,SPMS
Mokraya Airport,모크라야 공항,OZH,UKDE
Monaco Heliport,모나코 헬리포트,MCM,LNMC
Monbetsu Airport,몬베쓰 공항,MBE,RJEB
Montbeliard Courcelles Airport,몽벨리아르 쿠첼라 공항,XMF,LFSM
Mont-Dauphin-Saint-Crepin Airport,몽도 핀-생크 레핀 공항,SCP,LFNC
Monterey Peninsula Airport,몬터레이 페닌슬라 공항,MRY,KMRY
Montes Claros Airport,몬테클라로스 공항,MOC,SBMK
Montichiari Airport ,몬티치아리 공항 ,VBS,LIPO
Montreal - Pierre Elliott Trudeau International Airport,몬트리얼 피에르 엘리엇 트루도 국제공항,YUL,CYUL
Montreal-Mirabel International Airport,미라벨 공항,YMX,CYMX
Montrose Regional Airport,몬트로즈 지역공항,MTJ,KMTJ
Moorabbin Airport,무라빈 공항,MBW,YMMB
Mora Airport,모라 공항,MXX,ESKM
Moranbah Airport,모란바 공항,MOV,YMRB
Moree Airport,모리 공항,MRZ,YMOR
Morlaix Ploujean Airport,모리아이스 플루쟁 공항,MXN,LFRU
Mornington Island Airport,모닝턴 아일랜드 공항,ONG,YMTI
Moruya Airport,모루야 공항,MYA,YMRY
"Moss Airport, Rygge/Rygge Air Station","모스공항, 리지/라이게 공항",RYG,ENRY
Mostar International Airport,모스타르 국제공항,OMO,LQMO
Motu-Mute Airport,모투 무테 공항,BOB,NTTB
Moue Airport,모우에 공항,ILP,NWWE
Moulay Ali Cherif Airport,뮬랴이 알리 쉐리프 공항,ERH,GMFK
Moulins Montbeugny Airport,물랭-몽베르구니공항,XMU,LFHY
Mount Gambier Airport,마운트겜비어 공항,MGB,YMTG
Mount Isa Airport,마운트이사 공항,ISA,YBMA
Mount Sinai Airport,마운트 시나이 공항,SKV,HESC
Moussa Nakhl Tobias-Bauru/Arealva State Airport,Moussa Nakhl 토비아스-바우루 / Arealva State Airport,JTC,SBAE
Mpacha Airport,엠파챠 공항,MPA,FYMP
Mtwara Airport,므타라 공항,MYW,HTMT
Muan International Airport,무안 국제공항,MWX,RKJB
Mudanjiang Airport,무단장 공항,MDG,ZYMD
Mukah Airport,무카 공항,MKM,WBGK
Mukhino Airport,무키노 공항,UUD,UIUU
Multan International Airport,물탄 국제공항,MUX,OPMT
Mulu Airport,무루 공항,MZV,WBMU
Mundo Maya International Airport,문도 마야 국제공항,FRS,MGMM
Munich International Airport,뮌헨 국제공항,MUC,EDDM
Munster Osnabruck International Airport,먼스토 오스나브룩 국제공항,FMO,EDDG
Murmansk Airport,무르만스크 공항,MMK,ULMM
Murtala Muhammed Airport,무탈라 무하메드 공항,LOS,DNMM
Mus Airport,무슈 공항,MSR,LTCK
Mwanza Airport,므완자 공항,MWZ,HTMW
Mykolaiv Airport,미콜라이프 공항,NLV,UKON
Mykonos Island National Airport,미코노스 아일랜드 내셔널 공항,JMK,LGMK
Myrtle Beach International Airport,머틀 비치 국제 공항,MYR ,KMYR
Mysore Airport,마이소르 공항,MYQ,VOMY
Mytilene International Airport ,미틸렌 국제공항 ,MJT,LGMT
N. Kazantzakis Airport,니코스 카잔카키스 공항,HER,LGIR
Nacala Airport,나칼라 공항,MNC,FQNC
Nadi International Airport,나디 국제공항,NAN,NFFN
Nador International Airport ,나도르 국제공항,NDR,GMMW
Nadym Airport,나임 공항,NYM,USMM
Naga Airport,나가 공항,WNP,RPUN
Nagasaki Airport,나가사키 공항,NGS,RJFU
Naha Airport,나하 공항,OKA,ROAH
Najran Domestic Airport,네란 국내공항,EAM,OENG
Nakashibetsu Airport,나가시베쓰 공항,SHB,RJCN
Nakhichevan Airport,나히체반 공항,NAJ,UBBN
Nakhon Phanom Airport,나콘파놈 공항,KOP,VTUW
Nakhon Ratchasima Airport,낙혼랏챠시마 공항,NAK,VTUQ
Nal Airport,나일 공항,BKB,VIBK
Nampula Airport,남풀라 공항,APL,FQNP
Namsos Airport,남소스 공항,OSY,ENNM
Nan Airport,난 공항,NNT,VTCN
Nanaimo Airport,너나이모 공항,YCD,CYCD
Nanchang International Airport,난창 국제공항,KHN,ZSCN
Nanchong Airport,난충 공항,NAO,ZUNC
Nancy Essey Airport,낭시 에시 공항,ENC,LFSN
Nanded Airport,난데드 공항,NDC,VAND
Nangan Airport,낭안 공항,LZN,RCFG
Nanjing Lukou International Airport,난징 루쿠 국제공항,NKG,ZSNJ
Nanki-Shirahama Airport,난키 시라하마 공항,SHM,RJBD
Nanning Wuxu International Airport,난닝 웍슈 국제공항,NNG,ZGNN
Nanping Wuyishan Airport ,난핑 우이산 공항 ,WUS,ZSWY
Nantong Xingdong Airport,난퉁 신동 공항,NTG,ZSNT
Nanyang Airport,난양 공항,NNY,ZHNY
Nanyuan Airport,난유안 공항,NAY,ZBNY
Naples Airport,나폴리 공항,APF ,KAPF
Naples International Airport ,나폴리 국제공항,NAP,LIRN
Napoca Airport,나포카 공항,CLJ,LRCL
Napuka Airport,나푸카 공항,NAU,NTGN
Narathiwat Airport,나라티왓 공항,NAW,VTSC
Narita Airport,나리타 공항,NRT,RJAA
Narrandera Airport,나란데라 공항,NRA,YNAR
Nashik Airport,나식 공항,ISK,VAOZ
Nashville International Airport,내슈빌 국제공항,BNA,KBNA
Nassau International Airport,나사우 국제공항,NAS,MYNN
Natrona County International Airport,내트로나 카운티 국제공항,CPR,KCPR
Nausori International Airport,나우조리 국제공항,SUV,NFNA
Navoi International Airport,나보이 국제공항,NVI,UTSA
Nawabshah Airport,나왑샤 공항,WNS,OPNH
Naxos Island National Airport,낙소스 아일랜드 내셔널 공항,JNX,LGNX
Naypyidaw Airport,Naypyidaw 공항,NYT,VYNT
Ndola Airport,은돌라 공항,NLA,FLND
Nea Anchialos Airport,네아 안키알로스 공항,VOL,LGBL
Nefta Airport,네플라 공항,TOE,DTTZ
Neom Airport,네옴 공항,NUM,OENN
Netaji Subhas Chandra Airport,네타지 쉽하스 챤드라 공항,CCU,VECC
Neuquen Airport,네우켄 공항,NQN,SAZN
Nevers Fourchambault Airport,네버스 포쉠볼트 공항,NVS,LFQG
Nevsehir Kapadokya Airport,네브셰히르 공항,NAV,LTAZ
Newark Liberty International Airport,뉴왁 리버티 국제공항,EWR,KEWR
Newcastle International Airport,뉴캐슬 국제공항,NCL,EGNT
Newman Airport,뉴먼 공항,ZNE,YNWN
Newport News / Williamsburg International Airport,뉴포트 뉴스 / 윌리암스버그 국제공항,PHF,KPHF
Ngala Airport,응갈라 공항,NGL,FANG
NGaoundere Airport,음 게운데레 공항,NGE,FKKN
Ngari Gunsa Airport,은리군사 공항,NGQ,ZUAL
Ngurah Rai Airport,느구라 라이 공항,DPS,WADD
Nhulunbuy Airport ,누휼런바이 공항 ,GOV,YPGV
Niagara Falls International Airport,나이아가라폴스 국제공항,IAG,KIAG
Niau Airport,Niau 공항,NIU,NTKN
Nicolaus Copernicus Airport ,니콜라우스 코페르니쿠스 공항,WRO,EPWR
Niigata Airport,니가타 /키가타 공항,KIJ,RJSN
Nikolayevsk-on-Amur Airport,니콜라이에프스-에-아무르 공항,NLI,UHNN
Nimes-Arles-Camargue-Cevennes Airport ,님 아를 카마규 공항,FNI,LFTW
Ningbo Lishe International Airport,닝보 리쉬 국제공항,NGB,ZSNB
Ninglang Luguhu Airport,Ninglang Luguhu 공항,NLH,ZPNL
Ninoy Aquino International Airport,니노이 아퀴노 국제공항,MNL,RPLL
Niort - Souche Airport,니오트 소슈 공항,NIT,LFBN
Nis Constantine the Great International Airport,니스 국제공항,INI,LYNI
Nizhnevartovsk Airport,니즈네바토브스크 공항,NJC,USNN
Nogales International Airport,노갈레스 국제공항,NOG,MMNG
Noi bai International Airport,노이 바이 공항,HAN,VVNB
Nordela Airport ,노르델라 공항 ,PDL,LPPD
Norfolk International Airport,노퍽 국제공항,ORF,KORF
Norfolk Island Airport,노포크아일랜드 공항,NLK,YSNF
Norilsk Airport,노릴 공항,NSK,UOOO
Norman Manley Airport,노먼 먼레이 공항,KIN,MKJP
Norman Y. Mineta San Jose International Airport,노먼 Y. 미네타 산 호세 국제공항,SJC,KSJC
North Bay Airport,노스 베이 공항,BRR,EGPR
North Front Airport,노스 프론트 공항,GIB,LXGB
North Las Vegas Airport,노스 라스베이거스 공항,VGT,KVGT
North Platte Regional Airport,노스플랫 지역공항,LBF,KLBF
Northern Peninsula Airport,북부 반도 공항,ABM,YNPE
Northwest Arkansas Regional Airport,노스웨스트 아르캔자스 공항,XNA,KXNA
Northwest Florida Beaches International Airport,노스웨스트 플로리다 해변 국제 공항,ECP,KECP
Norwich International Airport,노리치 국제공항,NWI,EGSH
Noshahr Airport,Noshahr 공항,NSH,OINN
Noto Airport,노토 공항,NTQ,RJNW
Notodden Airport,노토덴 공항,NTB,ENNO
Nottingham East Midlands Airport,노팅엄 이스트 미들랜 공항,EMA,EGNX
Nouakchott-Oumtounsy International Airport,누악쇼트-옴툰시 국제공항,NKC,GQNO
Novokuznetsk Spichenkovo Airport,노보쿠즈네츠크 공항,NOZ,UNWW
Novosibirsk Tolmachevo Airport,노보시비르스크 공항 ,OVB,UNNT
Novy Airport,노비 공항,KHV,UHHH
Novy Urengoy Airport,Novy Urengoy 공항,NUX,USMU
Noyabrsk Airport,노야브스크 공항,NOJ,USRO
Nsimalen Airport,시말런 공항,NSI,FKYS
Nuku-Hiva Airport,누쿠 히바 공항,NHV,NTMD
Nukutavake Airport,누쿠타바크 공항,NUK,NTGW
Nuqui Airport,누키 공항,NQU,SKNQ
Nuremberg Airport,뉘른베르크 공항,NUE,EDDN
Nyingchi Mainling Airport,Nyingchi Mainling Airport,LZY,ZUNZ
Oakland International Airport,오클랜드 국제공항,OAK,KOAK
Obando Airport,오밴도 공항,PDA,SKPD
Obihiro Airport,오비히로 공항,OBO,RJCB
Octeville Airport,옥테빌르 공항,LEH,LFOH
Odate-Noshiro Airport,오다테 노시로 공항,ONJ,RJSR
Odessa Central Airport,오데사 센트럴 공항,ODS,UKOO
Oguzeli Airport,오굴젤리 공항,GZT,LTAJ
OHare International Airport,오헤어 국제공항,ORD,KORD
Oita Airport,오이타 공항,OIT,RJFO
Okadama Airport,오카다마 공항,OKD,RJCO
Okayama Airport,오까야마 공항,OKJ,RJOB
Okha Airport,오카 공항,OHH,UHSH
Okhotsk Airport,오호츠크 공항,OHO,UHOO
Oki Airport,오키 공항,OKI,RJNO
Okinoerabu Airport,오키노에라부 공항,OKE,RJKB
Okushiri Airport,오쿠시리 공항,OIR,RJEO
Oland Main Air Station,올랜드 마인 에어스테이션,OLA,ENOL
Olympic Dam Airport,올림픽 댐 공항,OLP,YOLD
Omiros Airport ,오미로스 공항 ,JKH,LGHI
Ondangwa Airport,온당바 공항,OND,FYOA
Ondjiva Pereira Airport,온지바 페레이라 공항,VPE,FNGI
Ontario International Airport,온타리오 국제공항,ONT,KONT
Ophira International Airport,오피라 국제공항,SSH,HESH
OR Tambo International Airport ,OR 탐보 국제공항,JNB,FAOR
Oradea International Airport,오라데아 국제공항,OMR,LROD
Ordos Ejin Horo Airport,오르도스 신간호로 공항,DSN,ZBDS
Ordu Giresun Airport,오르두개리 공항,OGU,LTCB
Orebro-Bofors Airport,오레브로 보포르 공항,ORB,ESOE
Orio Al Serio Airport,오리오 알 세리오 공항,BGY,LIME
Orlando International Airport,올랜도 국제공항,MCO,KMCO
Orleans Bricy Airport,오를레앙 브리시 공항,ORE,LFOJ
Orly Airport,오를리 공항,ORY,LFPO
Ormoc Airport,오목 공항,OMC,RPVO
Ornskoldsvik Airport,외른셸스비크 공항,OER,ESNO
Osh Airport,오쉬 공항,OSS,UAFO
Oshima Airport,오시마 공항,OIM,RJTO
Osijek Airport,오시예크 공항,OSI,LDOS
Oslo Airport,오슬로 공항,OSL,ENGM
Ostafievo International Airport,오스타피에보 국제공항,OSF,UUMO
Ostend-Bruges International Airport,오스텐 브루즈 국제공항,OST,EBOS
Ostrava Leos Janacek Airport ,오스트라바 레오 자냐체크 공항 ,OSR,LKMT
Osvaldo Vieira Airport,오스왈도 비에이라 공항,OXB,GGOV
Ottawa Macdonald-Cartier International Airport,오타와 맥도날 카티어 국제공항,YOW,CYOW
Ouagadougou Airport,와가두구 공항,OUA,DFFD
Ouanaham Airport ,오너햄 공항,LIF,NWWL
Ouarzazate Airport,아우아자자테 공항,OZZ,GMMZ
Oued Irara Airport ,이라야 공항,HME,DAUH
Ouloup Airport,울룹 공항,UVE,NWWV
Oulu Airport,오울루 공항,OUL,EFOU
Ovda Airport,오브다 공항,VDA,LLOV
Owen Roberts International Airport,오웬 로버츠 국제공항,GCM,MWCR
Oxford Airport,옥스퍼드 공항,OXF,EGTK
Oxnard Airport,옥스나드 공항,OXR,KOXR
Oyo Ollombo Airport,오요 람보 공항,OLL,FCOD
Paderborn Lippstadt Airport,페더브른 리프슈타트 공항,PAD,EDLP
Padre Jose de Aldamiz International Airport,파드레 호세 드 알다미즈 국제공항,PEM,SPTU
Pagadian Airport,파가디안 공항,PAG,RPMP
Page Field Airport,페이지 필드 공항,FMY,KFMY
Pai Airport,파이 공항,PYY,VTCI
Pajala Airport,파얄라 공항,PJA,ESUP
Pajas Blancas Airport ,파자스 블랑카스 공항 ,COR,SACO
Pakyong Airport,파룡 공항,PYG,VEPY
Palanga International Airport,팔랑가 국제공항,PLQ,EYPA
Palenque International Airport,Palenque 국제공항,PQM,MMPQ
Palm Beach International Airport,팜비치 국제공항,PBI,KPBI
Palm Island Airport,팜 아일랜드 공항,PMK,YPAM
Palm Springs International Airport,팜스프링스 국제공항,PSP,KPSP
Palma de Mallorca Airport ,팔마데마요르카 공항,PMI,LEPA
Palmares Airport,팔마레즈 공항,MCZ,SBMO
Palmas Airport,팔마스 공항,PMW,SBPJ
Palmdale Regional Airport,팜데일 지역공항,PMD,KPMD
Palmerston North Airport,팔머스턴노스 공항,PMR,NZPM
Palo Negro Airport,팔로 네그로 공항,BGA,SKBG
Pamplona Airport,팜플로나 공항,PNA,LEPP
Pampulha Airport,팜풀하 공항,PLU,SBBH
Pangkalpinang Airport,팡칼피낭 공항,PGK,WIPK
Pangkor Airport,팡코르 공항,PKG,WMPA
Panjgur Airport,팡구어 공항,PJG,OPPG
Pant Nagar Airport ,판트니가르 공항,PGH,VIPT
Pantelleria Airport,판텔레리아 공항,PNL,LICG
Panzhihua Baoanying Airport,Panzhihua Baoanying 공항,PZI,ZUZH
Paphos International Airport,파포스 국제공항,PFO,LCPH
Paraburdoo Airport,파라버두 공항,PBO,YPBO
Pardubice Airport,파르두비체 공항,PED,LKPD
Parkes Airport,파크스 공항,PKE,YPKS
Parma Airport,파르마 공항,PMF,LIMP
Parnaiba-Prefeito Dr. Joao Silva Filho International Airport,Parnaiba-Prefeito Joao Silva Filho 국제공항,PHB,SBPB
Paro Airport,파로 공항,PBH,VQPR
Paros National Airport,파로스 내셔널 공항,PAS,LGPA
Parsabad-Moghan Airport,파사바드-모간 공항,PFQ,OITP
Pashkovsky Airport,파쉬코브스키 공항,KRR,URKK
Pasighat Airport,파시갓 공항,IXT,VEPG
Pasni Airport,파스니 공항,PSI,OPPI
Pathankot Airport ,패단콧 공군기지,IXP,VIPK
Pattimura Airport,파티무라 공항,AMQ,WAPP
Paulo Afonso Airport,파울로아폰소 공항,PAV,SBUF
Peelamedu Airport,필라메두 공항,CJB,VOCB
Pemba Airport,펨바 / 펨바아일랜드 공항,POL,FQPB
Penang International Airport,페낭 국제공항,PEN,WMKP
Pengkalan Chepa Airport,펭칼란 체파 공항,KBR,WMKC
Pensacola Gulf Coast Regional Airport,펜서콜라 걸프 코스트 지역공항,PNS,KPNS
Penza Airport,펜자 공항,PEZ,UWPP
Perales Airport,페랄레즈 공항,IBE,SKIB
Peretola Airport ,페레톨라 공항 ,FLR,LIRQ
Perigueux - Bassillac Airport,페리그 공항,PGX,LFBX
Persian Gulf Airport,페르시아만 공항,PGU,OIBP
Perth International Airport,퍼스 국제공항,PER,YPPH
Peshawar International Airport,페샤와르 국제공항,PEW,OPPS
Petrolina Internacional Airport,페트롤리나 국제공항,PNZ,SBPL
Pevek Airport,페벡 공항,PWE,UHMP
Phetchabun Airport,Phetchabun 공항,PHY,VTPB
Philadelphia International Airport,필라델피아 국제공항,PHL,KPHL
Philippos Airport,필리포스 공항,KZI,LGKZ
Phitsanulok Airport,피챠누록 공항,PHS,VTPP
Phoenix Deer Valley Airport,피닉스 디어밸리 공항,DVT,KDVT
Phoenix Sky Harbor International Airport,피닉스 스카이하버 국제공항,PHX,KPHX
Phoenix-Mesa Gateway Airport ,피닉스메사 게이트웨이 공항,AZA,KIWA
Phrae Airport,프래 공항,PRH,VTCP
Phu Bai Airport,푸 바이 공항,HUI,VVPB
Phu Cat Airport,푸 캇 공항,UIH,VVPC
Phuket International Airport,푸케트 섬 국제공항,HKT,VTSP
Phung-Duc Airport,풍둑 공항,BMV,VVBM
Piarco Airport,피아르코 공항,POS,TTPP
Pico Airport,피코 공항,PIX,LPPI
Piedmont Triad International Airport,피드몬트 트라이얏 국제공항,GSO,KGSO
Pierrefonds Airport,피에르폰즈 공항,ZSE,FMEP
Piestany Airport,피에타니 공항,PZY,LZPP
Pinto Martins Airport,핀토 마틴 공항,FOR,SBFZ
Pithoragarh Airport,피토라가르 공항,NNS,VIDF
Pittsburgh International Airport,피츠버그 국제공항,PIT,KPIT
Placido de Castro International Airport,플라시드드카스트로 국제공항,RBR,SBRB
Plage Blanche Airport,플라지 블랑슈 공항,TTA,GMAT
Plaine Corail Airport,플레인 코레일 공항,RRG,FIMR
Playa de Oro International Airport,플라야 데 오로 국제공항,ZLO,MMZO
Pleiku Airport,플레이쿠 공항,PXU,VVPK
Pleso Airport,플레소 공항,ZAG,LDZA
Pleurtuit Airport,플뢰르튀트 공항,DNR,LFRD
Pocatello Regional Airport,포카텔로 지역공항,PIH,KPIH
Pochentong Airport,포켄통 공항,PNH,VDPP
Podgorica Airport,포드고리카 공항,TGD,LYPG
Pohang Airport,포항 공항,KPO,RKTH
Pointe Vele Airport,포인트 벨레 공항,FUT,NLWF
Polonia International Airport,폴로니아 공항,MES,WIMM
Poltava International Airport,폴 타바 국제 공항,PLV,UKHP
Polyarny Airport,폴리안니 공항,PYJ,UERP
Ponciano Arriaga International Airport,폰시아노 아리아가 국제공항,SLP,MMSP
Pondicherry Airport,퐁디셰리 공항,PNY,VOPC
Ponta Pora International Airport,폰타포라 국제공항,PMG,SBPP
Poprad-Tatry Airport,포프라드 타트라 공항,TAT,LZTT
Porbandar Airport,포르반다르 공항,PBD,VAPR
Poretta Airport,포레타 공항,BIA,LFKB
Pori Airport,포리 공항,POR,EFPO
Port Columbus International Airport,포트 콜럼버스 국제공항,CMH,KCMH
Port Elizabeth Airport,포트엘리자베스 공항,PLZ,FAPE
Port Harcourt International Airport,포트하커트 국제공항,PHC,DNPO
Port Hedland International Airport,포트헤드랜드 국제공항,PHE,YPPD
Port Lincoln Airport,포트링컨 공항,PLO,YPLC
Port Macquarie Airport,포트매콰리 공항,PQQ,YPMQ
Port Said Airport,포트사이드 공항,PSD,HEPS
Portland International Airport,포틀랜드 국제공항,PDX,KPDX
Portland International Jetport ,포틀랜드 국제제트포트 ,PWM,KPWM
Porto Santo Airport,포토산토 공항,PXO,LPPS
Portoroz Airport,포토로즈 공항,POW,LJPZ
Prefeito Renato Moreira Airport,프레페이토 레나토 모레이라 공항,IMP,SBIZ
Preguica Airport,프레기가 공항,SNE,GVSN
Presidente Ibanez Airport,프레지덴테 이바네즈 공항,PUQ,SCCI
Prestwick Airport,프레스트윅 공항,PIK,EGPK
Prince Abdul Majeed bin Abdulaziz Domestic Airport,프린스 압둘 마지드 빈 압둘 아지즈 국내 공항,ULH,OEAO
Prince George Airport,프린스죠지 공항,YXS,CYXS
Prince Mohammad Bin Abdulaziz International Airport Prince Mohammed Airport ,모하메드 빈 압둘지즈 공항,MED,OEMA
Prince Said Ibrahim International Airport,프린스 사이드 이브라힘 국제공항,HAH,FMCH
Princess Juliana International Airport ,프린세스 훌리아나 국제공항,SXM,TNCM
Principe Airport,프린시프 공항,PCP,FPPR
Pristina International Airport Adem Jashari,프리스티나 국제공항 아뎀 자샤리,PRN,BKPR
Provence Airport,프로방스 공항,MRS,LFML
Pu Dong Airport,푸동 공항,PVG,ZSPD
Puerto Carreno Airport,푸에르토카레뇨 공항,PCR,SKPC
Puerto Escondido International Airport,푸에르토에스칸디도 국제공항,PXM,MMPS
Puerto Princesa Airport,푸에르토프린세사 공항,PPS,RPVP
Puka-Puka Airport,푸카푸카 공항,PKP,NTGP
Pukarua Airport,푸카루아 공항,PUK,NTGQ
Pula Airport,풀라 공항,PUY,LDPL
Pulau Redang Airport,팔라우 르당 공항,RDN,WMPR
Pulkovo Airport,플코보 공항,LED,ULLI
Punta Cana International Airport,푼타카나 국제공항,PUJ,MDPC
Punta Gorda Airport,푼타 고다 공항,PGD,KPGD
Punta Raisi Airport ,푼타 라이시 공항 ,PMO,LICJ
Pyrenees Airport,퓌레네 공항,PUF,LFBP
Pyrzowice Airport,피르조위체 공항,KTW,EPKT
Qabala International Airport,카발라 국제 공항,GBB,UBBQ
Qaisumah Domestic Airport,퀘시마 국내공항,AQI,OEPA
Qamdo Bamda Airport,캄도 바다 공항,BPX,ZUBD
Qianjiang Wulingshan Airport,키안지앙 울산산 공항,JIQ,ZUQJ
Qiemo Airport,Qiemo 공항,IQM,ZWCM
Qilian Airport,킬리안 공항,HBQ,
Qimei Airport,치메이 공항,CMJ,RCCM
Qingdao Liuting International Airport,칭다오 리아우팅 국제공항,TAO,ZSQD
Qingyang Airport,경양 공항,IQN,ZLQY
Qinhuangdao Beidaihe Airport,친황다오 베이다이허 공항,BPE,ZBDH
Qionghai Boao Airport,충하이 보아 공항,BAR,
Qiqihar Airport,치치하얼 공항,NDG,ZYQQ
Quad-Cities Airport,쾌드 시티즈 공항,MLI,KMLI
Quaid-E-Azam International Airport ,퀘이드 이 아잠 국제공항 ,KHI,OPKC
Quanzhou Jinjiang Airport,취안저우 진장 공항,JJN,ZSQZ
Quatro de Fevereiro Airport,콰트로 데 페베레이로 공항,LAD,FNLU
Quebec city / Jean Lesage International Airport,퀘벡 시티 장 레사지 국제공항,YQB,CYQB
Queen Alia International Airport,퀸 알리아 국제공항,AMM,OJAI
Queen Beatrix International Airport ,레이나 비트릭스 공항,AUA,TNCA
Quelimane Airport,퀴리메인 공항,UEL,FQQL
Queretaro Intercontinental Airport,카레타로인터콘티넨탈 공항,QRO,MMQT
Quetta International Airport,퀘타 국제공항,UET,OPQT
Quetzalcoatl International Airport,케첼코울 국제공항,NLD,MMNL
Quimper Pluguffan Airport,큄퍼 플러구팽 공항,UIP,LFRQ
Quincy Regional Airport,퀸시 지역 공항,UIN,KUIN
Quzhou Airport,Quzhou 공항,JUZ,ZSJU
Rabil Airport,레이빌 공항,BVC,GVBA
Rach Gia Airport,라츠지아 공항,VKG,VVRG
